RecordType|OperationFlg|Request_Status|CIFID|SubforCC|SubForAccount|SubForRemittance|SubForDeposit|SubForInvestments|SubForFutureService1|SubForFutureService2|SubForFutureService3|DeliveryMode|FaxNum|PrimaryEmail|SecondaryEmail|RCreId|RCreTime
FN|M|SUC|1463300|Y|Y|Y|Y|Y|N|N|N|E||latha@rakbanktst.ae|latha@rakbanktst.ae|LAST NAME FOR 1463300|30-09-2018 08:51:51
FN|M|SUC|2179901|Y|Y|Y|Y|Y|N|N|N|E||latha@rakbanktst.ae|latha@rakbanktst.ae|LAST NAME FOR 2179901|16-09-2018 16:47:37
FN|D|REJ|2255606|Y|Y|Y|Y|Y|N|N|N|E||estatetest4@rakbanktst.ae|estatetest4@rakbanktst.ae|ACCOUNT NAME FOR      2255606XX|26-09-2018 17:13:55
FN|M|SUC|2546335|Y|Y|Y|Y|Y|N|N|N|E||latha@rakbanktst.ae|latha@rakbanktst.ae|LAST NAME FOR   2546335|10-09-2018 09:51:12
FN|D|SUC|0110533|Y|Y|Y|Y|Y|N|N|N|E||estatetest6@rakbanktst.ae|estatetest6@rakbanktst.ae|LAST NAME FOR   0110533XXX|03-07-2018 15:27:00
FN|M|SUC|2570105|Y|Y|Y|Y|Y|N|N|N|E||elx2pbr23@rakbanktst.ae||LAST NAME FOR 2570105|05-12-2018 16:30:37
FN|M|SUC|2647575|Y|Y|Y|Y|Y|N|N|N|E||elx2pbr23@rakbanktst.ae|elx2pbr23@rakbanktst.ae|ACCOUNT NAME FOR      2647575XXXXXXXXX|03-07-2018 14:18:04
FN|D|SUC|0341562|Y|Y|Y|Y|N|N|N|N|E||estatetest4@rakbanktst.ae|estatetest4@rakbanktst.ae|LAST NAME FOR 0341562|24-09-2018 14:52:27
FN|M|SUC|2078200|Y|Y|Y|Y|N|N|N|N|E||latha@rakbanktst.ae|latha@rakbanktst.ae|LAST NAME FOR  2078200|14-11-2018 08:52:05
FN|M|REJ|2210776|N|Y|Y|Y|Y|N|N|N|E||povaz.r@rakbanktst.ae|estatetest4@rakbanktst.ae|ACCOUNT NAME FOR     2210776|08-11-2018 16:53:04
FN|M|SUC|2317894|Y|Y|Y|Y|N|N|N|N|E||latha@rakbanktst.ae|latha@rakbanktst.ae|LAST NAME FOR 2317894|06-09-2018 14:29:00
FN|M|SUC|2357771|Y|Y|Y|Y|Y|N|N|N|E||latha@rakbanktst.ae|latha@rakbanktst.ae|LAST NAME FOR 2357771|12-11-2018 09:53:22
FN|M|SUC|2361468|Y|Y|Y|Y|Y|N|N|N|E||latha@rakbanktst.ae|latha@rakbanktst.ae|LAST NAME FOR 2361468|12-11-2018 09:54:21
FN|D|SUC|0178456|Y|Y|Y|Y|Y|N|N|N|E||estatetest8@rakbanktst.ae|estatetest6@rakbanktst.ae|LAST NAME FOR  0178456|22-06-2018 17:08:20
